fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.484372,0.480436,0.482649,0.46365,0.43956,0.354273,0.392335,0.673596,0.504942,0.577201,0.328152,0.588734,0.421414
8,0.510235,0.492858,0.49442,0.491326,0.396026,0.486682,0.436699,0.642134,0.569427,0.603599,0.440413,0.427152,0.433681
9,0.496352,0.478015,0.471935,0.468045,0.440378,0.336811,0.381694,0.541436,0.702509,0.611544,0.452232,0.376484,0.410896
AVG,0.496986,0.48377,0.483001,0.47434,0.425321,0.392589,0.403576,0.619055,0.592293,0.597448,0.406932,0.464123,0.421997
