fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.683586,0.529916,0.578186,0.545413,0.380108,0.46945,0.420081,0.870013,0.754825,0.808336,0.339626,0.510282,0.407821
8,0.69361,0.556454,0.592264,0.569996,0.398511,0.49328,0.44086,0.863994,0.775048,0.817108,0.406856,0.508464,0.45202
9,0.643235,0.531551,0.561788,0.541648,0.389287,0.450694,0.417746,0.825797,0.72487,0.772049,0.37957,0.5098,0.43515
AVG,0.673477,0.539307,0.577413,0.552352,0.389302,0.471141,0.426229,0.853268,0.751581,0.799164,0.375351,0.509515,0.431664
