fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.552337,0.540011,0.528724,0.527772,0.524726,0.426909,0.47079,0.58409,0.744732,0.654701,0.511218,0.414531,0.457825
8,0.621387,0.590493,0.568547,0.573318,0.540227,0.446656,0.489006,0.676465,0.822483,0.742362,0.554786,0.436502,0.488587
7,0.592613,0.554787,0.559495,0.556241,0.505509,0.492432,0.498885,0.71979,0.683457,0.701153,0.439062,0.502597,0.468686
AVG,0.588779,0.561764,0.552255,0.552444,0.523487,0.455332,0.486227,0.660115,0.750224,0.699405,0.501689,0.45121,0.471699
