fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.446501,0.452126,0.449023,0.441424,0.481691,0.328591,0.390677,0.49322,0.482995,0.488054,0.381468,0.535483,0.445541
8,0.440332,0.439963,0.439921,0.438842,0.436245,0.377396,0.404692,0.444631,0.489074,0.465795,0.439013,0.453294,0.446039
9,0.416883,0.439709,0.442876,0.408939,0.47306,0.264035,0.33891,0.364627,0.715249,0.483017,0.48144,0.349343,0.404889
AVG,0.434572,0.443933,0.44394,0.429735,0.463665,0.323341,0.378093,0.434159,0.562439,0.478955,0.433974,0.44604,0.432156
