fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.804228,0.797892,0.797748,0.797578,0.793959,0.757176,0.775131,0.851838,0.859405,0.855605,0.747878,0.776662,0.761999
8,0.799896,0.780853,0.783754,0.782226,0.732736,0.75158,0.742038,0.878812,0.860847,0.869737,0.731011,0.738835,0.734902
7,0.79606,0.766429,0.773256,0.769567,0.7254,0.732366,0.728867,0.885096,0.857625,0.871144,0.68879,0.729777,0.708691
AVG,0.800061,0.781725,0.784919,0.783124,0.750698,0.747041,0.748679,0.871915,0.859292,0.865495,0.72256,0.748425,0.735197
