fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.542662,0.418382,0.430976,0.420501,0.240159,0.282675,0.259689,0.754022,0.654482,0.700735,0.260964,0.355771,0.301081
8,0.506785,0.42561,0.457258,0.41607,0.227916,0.397927,0.289829,0.811642,0.546634,0.653286,0.237272,0.427214,0.305096
7,0.503551,0.416914,0.456693,0.403056,0.219772,0.359933,0.272908,0.826379,0.536312,0.650473,0.204593,0.473833,0.285788
AVG,0.517666,0.420302,0.448309,0.413209,0.229282,0.346845,0.274142,0.797348,0.579143,0.668165,0.234276,0.418939,0.297322
