fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.495757,0.503385,0.511233,0.495226,0.542629,0.405165,0.463928,0.443049,0.67364,0.534537,0.524476,0.454894,0.487213
8,0.551349,0.550386,0.549591,0.546911,0.534378,0.50202,0.517694,0.561717,0.67593,0.613554,0.555062,0.470824,0.509484
7,0.50849,0.518726,0.515716,0.508455,0.500548,0.52126,0.510694,0.624019,0.444698,0.519314,0.431612,0.581191,0.495356
AVG,0.518532,0.524166,0.525513,0.516864,0.525852,0.476148,0.497439,0.542928,0.598089,0.555802,0.503717,0.502303,0.497351
