fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.818205,0.736761,0.784228,0.755901,0.673044,0.721416,0.696391,0.933655,0.852517,0.891244,0.603584,0.778752,0.68007
8,0.831237,0.733125,0.791692,0.757694,0.617778,0.765848,0.68389,0.944971,0.862851,0.902046,0.636627,0.746376,0.687147
7,0.836924,0.720254,0.782947,0.746477,0.628217,0.72293,0.672254,0.947802,0.873349,0.909054,0.584743,0.752561,0.658122
AVG,0.828789,0.730047,0.786289,0.753357,0.63968,0.736731,0.684178,0.942143,0.862906,0.900781,0.608318,0.75923,0.675113
