fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.711688,0.531791,0.546595,0.538209,0.372794,0.435635,0.401772,0.856011,0.821935,0.838627,0.366567,0.382215,0.374228
8,0.693437,0.533874,0.542479,0.537837,0.368038,0.40087,0.383753,0.837716,0.814717,0.826056,0.39587,0.411849,0.403701
9,0.656386,0.518632,0.519086,0.518847,0.373251,0.379845,0.376519,0.794699,0.792539,0.793618,0.387947,0.384874,0.386404
AVG,0.68717,0.528099,0.536053,0.531631,0.371361,0.40545,0.387348,0.829475,0.80973,0.819434,0.383461,0.392979,0.388111
