fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.572533,0.461277,0.514994,0.460881,0.28789,0.414116,0.339654,0.854366,0.612358,0.713397,0.241575,0.518508,0.329592
8,0.579372,0.478446,0.526889,0.482247,0.289086,0.479713,0.360766,0.84568,0.621527,0.716481,0.300571,0.479427,0.369493
9,0.600432,0.473831,0.488292,0.477732,0.337891,0.338561,0.338226,0.780189,0.712733,0.744937,0.303413,0.413581,0.350034
AVG,0.584112,0.471185,0.510058,0.47362,0.304956,0.410797,0.346215,0.826745,0.648873,0.724938,0.281853,0.470505,0.349706
