fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.453299,0.453141,0.436433,0.433984,0.448274,0.628177,0.523192,0.435167,0.303841,0.357835,0.475982,0.377283,0.420924
8,0.495074,0.508448,0.49097,0.468879,0.531088,0.301258,0.384443,0.474041,0.815946,0.599683,0.520217,0.355706,0.422513
7,0.424168,0.47489,0.448387,0.403455,0.425449,0.57502,0.489054,0.618996,0.158498,0.252374,0.380226,0.611642,0.468937
AVG,0.457514,0.478826,0.458597,0.435439,0.46827,0.501485,0.465563,0.509401,0.426095,0.403297,0.458808,0.44821,0.437458
