fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.465322,0.442296,0.4364,0.426034,0.40181,0.249423,0.307788,0.504761,0.716017,0.59211,0.420317,0.34376,0.378204
8,0.469256,0.447618,0.450176,0.44782,0.374475,0.3704,0.372426,0.591202,0.54311,0.566137,0.377176,0.437017,0.404898
7,0.463769,0.442889,0.44946,0.438058,0.384218,0.337691,0.359455,0.619048,0.513525,0.56137,0.325401,0.497163,0.393349
AVG,0.466116,0.444268,0.445345,0.437304,0.386834,0.319171,0.346556,0.57167,0.590884,0.573206,0.374298,0.42598,0.39215
