fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.727087,0.727989,0.733498,0.729441,0.756487,0.676034,0.714001,0.733842,0.793084,0.762314,0.69364,0.731376,0.712008
8,0.713326,0.714968,0.712993,0.713476,0.675842,0.712028,0.693463,0.787806,0.733124,0.759482,0.681255,0.693827,0.687484
7,0.683454,0.682195,0.683788,0.681126,0.646376,0.679797,0.662666,0.781002,0.68253,0.728453,0.619207,0.689037,0.652258
AVG,0.707956,0.708384,0.710093,0.708014,0.692902,0.689286,0.690043,0.76755,0.736246,0.750083,0.664701,0.704747,0.683917
