fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.434461,0.441452,0.440842,0.432325,0.464975,0.350367,0.399616,0.484918,0.423919,0.452371,0.374464,0.54824,0.444988
8,0.435885,0.435634,0.435855,0.435318,0.430468,0.393096,0.410934,0.440148,0.454056,0.446994,0.436288,0.460412,0.448025
9,0.416038,0.43789,0.441932,0.408154,0.470053,0.261665,0.336186,0.364909,0.712048,0.482532,0.478709,0.352082,0.405745
AVG,0.428795,0.438325,0.439543,0.425266,0.455165,0.335043,0.382245,0.429992,0.530008,0.460632,0.42982,0.453578,0.432919
