fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.510401,0.416175,0.454369,0.404173,0.219614,0.342769,0.267707,0.824072,0.549483,0.659331,0.204837,0.470855,0.285481
8,0.510906,0.42495,0.456159,0.417,0.228843,0.385895,0.287307,0.808227,0.554977,0.658078,0.237781,0.427604,0.305616
9,0.54476,0.416927,0.429135,0.419116,0.236661,0.26627,0.250594,0.752776,0.660809,0.703801,0.261344,0.360325,0.302955
AVG,0.522022,0.419351,0.446554,0.41343,0.228373,0.331645,0.268536,0.795025,0.588423,0.673737,0.234654,0.419595,0.298017
