fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
7,0.468276,0.446924,0.453156,0.44194,0.388906,0.340099,0.362869,0.624694,0.520208,0.567683,0.327171,0.499161,0.395267
8,0.467147,0.446781,0.44966,0.446845,0.371604,0.37219,0.371897,0.592738,0.534988,0.562384,0.376003,0.441802,0.406255
9,0.463725,0.440341,0.435637,0.426183,0.396077,0.255242,0.310433,0.506191,0.706909,0.589944,0.418755,0.344759,0.378171
AVG,0.466383,0.444682,0.446151,0.438323,0.385529,0.32251,0.3484,0.574541,0.587368,0.573337,0.373976,0.428574,0.393231
