fold,accuracy,macro_precision,macro_recall,macro_f1,Up_P,Up_R,Up_F1,Stat_P,Stat_R,Stat_F1,Down_P,Down_R,Down_F1
9,0.573629,0.560994,0.552576,0.551462,0.549405,0.426206,0.480027,0.61284,0.753763,0.676036,0.520735,0.477759,0.498322
8,0.632964,0.603647,0.590389,0.594559,0.554109,0.487613,0.518739,0.7001,0.795151,0.744604,0.55673,0.488405,0.520334
7,0.592541,0.561289,0.572232,0.563822,0.493968,0.518371,0.505875,0.744299,0.649865,0.693884,0.445599,0.548462,0.491708
AVG,0.599711,0.57531,0.571732,0.569948,0.532494,0.477397,0.501547,0.685746,0.732926,0.704841,0.507688,0.504875,0.503455
